"ID_VIV","ID_PER","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","R_INF","SEL_D","SEL_M","N_REN","PAREN","SEXO","EDAD","NAC_D","NAC_M","COD","NIV","GRA","P3_8","P3_9","P3_10","P3_11","FAC_VIV","FAC_SEL","DOMINIO","UPM_DIS","EST_DIS"
"0101214.04","0101214.04.05","0101214","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","05","5","1","03","","","","00","","1","","","","4299.61053790339","0","U","0006","0003"
"0101214.05","0101214.05.01","0101214","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","01","1","1","63","28","03","1","08","5","2","8","4","","4299.61053790339","12898.8316137102","U","0006","0003"
"0101214.05","0101214.05.02","0101214","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","02","2","2","70","18","07","2","08","5","2","1","","2","4299.61053790339","0","U","0006","0003"
"0101214.05","0101214.05.03","0101214","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","03","3","2","32","09","07","2","08","5","2","1","","2","4299.61053790339","0","U","0006","0003"
"0101288.01","0101288.01.01","0101288","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","01","1","1","54","21","11","2","03","3","2","1","","2","7454.56041316952","0","U","0007","0001"
"0101288.01","0101288.01.02","0101288","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","02","2","2","56","06","07","2","08","1","2","5","4","","7454.56041316952","0","U","0007","0001"
"0101288.01","0101288.01.03","0101288","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","03","3","1","23","27","10","1","08","5","2","1","","2","7454.56041316952","29818.2416526781","U","0007","0001"
"0101288.01","0101288.01.04","0101288","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","04","3","2","24","24","05","2","08","5","2","1","","2","7454.56041316952","0","U","0007","0001"
"0101288.01","0101288.01.05","0101288","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","05","5","2","01","","","","","","","","","","7454.56041316952","0","U","0007","0001"
"0101288.02","0101288.02.01","0101288","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","01","1","1","57","21","06","2","06","3","2","1","","2","7454.56041316952","0","U","0007","0001"
"0101288.02","0101288.02.02","0101288","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","02","2","2","62","22","11","1","03","3","2","5","4","","7454.56041316952","22363.6812395086","U","0007","0001"
"0101288.02","0101288.02.03","0101288","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","03","3","2","33","18","02","2","03","3","2","1","","2","7454.56041316952","0","U","0007","0001"
"0101288.02","0101288.02.04","0101288","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","04","5","2","06","","","","01","3","1","","","","7454.56041316952","0","U","0007","0001"
"0101288.02","0101288.02.05","0101288","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","05","5","1","06","","","","01","3","1","","","","7454.56041316952","0","U","0007","0001"
"0101288.03","0101288.03.01","0101288","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","01","1","2","63","25","02","1","08","5","2","8","4","","7454.56041316952","7454.5604131695","U","0007","0001"
"0101288.04","0101288.04.01","0101288","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","01","1","2","65","01","01","1","03","1","2","6","4","","7454.56041316952","14909.120826339","U","0007","0001"
"0101288.04","0101288.04.02","0101288","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","02","3","1","33","12","01","2","08","5","2","1","","2","7454.56041316952","0","U","0007","0001"
"0101288.05","0101288.05.01","0101288","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","01","1","2","57","13","04","2","02","6","2","1","","2","7454.56041316952","0","U","0007","0001"
"0101288.05","0101288.05.02","0101288","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","02","3","1","32","06","04","1","06","3","2","1","","2","7454.56041316952","14909.120826339","U","0007","0001"
"0101788.01","0101788.01.01","0101788","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","29","09","01","1","1","29","01","01","1","06","3","2","1","","2","7343.13498059579","7343.1349805958","U","0008","0001"
"0101788.03","0101788.03.01","0101788","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","29","09","01","1","1","58","25","05","1","06","2","2","1","","2","7343.13498059579","7343.1349805958","U","0008","0001"
"0101788.04","0101788.04.01","0101788","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","28","09","01","1","1","28","30","03","2","03","3","2","1","","2","7343.13498059579","0","U","0008","0001"
"0101788.04","0101788.04.02","0101788","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","28","09","02","2","2","27","08","12","1","08","5","2","5","4","","7343.13498059579","14686.2699611916","U","0008","0001"
"0101788.04","0101788.04.03","0101788","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","28","09","03","3","2","07","","","","02","1","1","","","","7343.13498059579","0","U","0008","0001"
"0101788.04","0101788.04.04","0101788","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","28","09","04","3","1","05","","","","01","2","1","","","","7343.13498059579","0","U","0008","0001"
"0101788.05","0101788.05.01","0101788","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","28","09","01","1","2","28","09","07","2","08","5","2","1","","2","7343.13498059579","0","U","0008","0001"
"0101788.05","0101788.05.02","0101788","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","28","09","02","2","1","29","09","03","1","08","2","2","1","","2","7343.13498059579","14686.2699611916","U","0008","0001"
"0101947.01","0101947.01.01","0101947","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","01","1","1","40","27","06","2","00","","2","1","","2","6774.27641666777","0","U","0009","0002"
"0101947.01","0101947.01.02","0101947","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","02","2","2","50","23","05","2","03","3","2","1","","2","6774.27641666777","0","U","0009","0002"
"0101947.01","0101947.01.03","0101947","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","03","5","2","79","11","12","1","00","","2","8","4","","6774.27641666777","20322.8292500033","U","0009","0002"
"0101947.02","0101947.02.01","0101947","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","01","1","1","47","08","08","1","07","3","2","1","","2","6774.27641666777","6774.2764166678","U","0009","0002"
"0101947.03","0101947.03.01","0101947","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","01","1","2","42","03","08","2","03","3","2","1","","2","6774.27641666777","0","U","0009","0002"
"0101947.03","0101947.03.02","0101947","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","02","3","1","23","14","01","1","03","3","2","1","","2","6774.27641666777","13548.5528333355","U","0009","0002"
