LON,LAT,EDO,CLAVE,ESTACION,mar-23
-96.873611,19.650556,VER,NACVC,"Naolinco AC, Ver.",107.71
-96.872222,19.65,VER,NAOVC,"Naolinco, Ver.",129
-94.4,18.1,VER,COTVC,"Observatorio de Coatzacoalcos, Ver.",90.8
-97.1,18.85,VER,ORZVC,"Observatorio de Orizaba, Ver.",55.62
-97.4,20.955556,VER,TXPVC,"Observatorio de Tuxpan, Ver.",11.33
-96.111111,19.154167,VER,VERVC,"Observatorio de Veracruz, Ver.",0.42
-96.916667,19.533333,VER,XOBVC,"Observatorio de Xalapa, Ver.",157.02
-96.97,19.55,VER,OTIVC,"Otilpan, Ver.",132
-96.918056,19.48,VER,PAVVC,"Pacho Viejo, Ver.",150.04
-98.176667,22.06,VER,PNCVC,"Pánuco, Ver.",1.66
-97.316667,20.45,VER,PPNVC,"Papantla, Ver.",67
-98.155833,21.7375,VER,CHYVC,"Paso de Piedras, Ver.",16.91
-96.399444,18.837778,VER,PARVC,"Paso Real Protección Civil, Ver.",5.54
-97.238889,19.580556,VER,PERVC,"Perote, Ver.",26.23
-96.979722,19.588611,VER,PILVC,"Piletas, Ver.",74.82
-96.9025,20.172778,VER,CEPVC,"Pital Protección Civil, Ver.",48.54
-94.193611,17.872778,VER,PCNVC,"Planta de Bombeo 1 de La Cangrejera, Ver.",135.01
-94.253889,17.954444,VER,CB2VC,"Planta de Bombeo 2 de La Cangrejera, Ver.",148.01
-94.3775,18.103611,VER,PB3VC,"Planta de Bombeo 3 de La Cangrejera, Ver.",163.51
-98.356667,21.297778,VER,PSNVC,"Platón Sánchez, Ver.",16.3
-96.795278,18.888056,VER,PTNVC,"Potrero Nuevo, Ver.",54.03
-97.478333,20.540833,VER,PRCVC,"Poza Rica, Ver.",39.5
-97.475,20.543333,VER,POZARICA,"Poza Rica, Ver. SGT*",24.7
-97.254167,20.573611,VER,VEDVC,"Poza Verde, Ver. PC",16
-96.665,19.043333,VER,PTE4CAMINOS,"Puente Cuatro Caminos, Ver. SGT*",34
-96.704444,18.821944,VER,PTEAUTOPISTA,"Puente de la Autopista, Ver. SGT*",34.4
-95.627778,18.716667,VER,RALVC,"Radar Alvarado, Ver.",5.11
-88.160278,21.571111,VER,RILYC,"Río Lagartos, Yuc. SMN*",31.59
-97.608333,20.332778,VER,ANDVC,"San Andrecito, Ver. PC",0.06
