LON,LAT,EDO,CLAVE,ESTACION,jul_23
-98.1425,17.501389,OAX,SLAOX,"Silacayoápam, Oax.",174.4
-96.453611,17.1175,OAX,SMAOX,"San Antonio Cuajimoloyas, Oax.",77.83
-97.881389,17.228889,OAX,SMNOX,"San Martín Itunyoso, Oax.",172.93
-97.680278,18.188611,OAX,SNCOX,"Santiago Chazumba, Oax.",52.03
-96.55,18.05,OAX,STDOX,"Santo Domingo, Oax.",536.73
-97.536667,17.726111,OAX,STTOX,"Santiago Teotongo, Oax.",56.71
-96.412222,18.232222,OAX,TEMOX,"Presidente Alemán, Oax.",422.6
-97.424444,17.550556,OAX,TEPOX,"San Juan Teposcolula, Oax.",136.82
-95.6,16.416667,OAX,TEQOX,"Tequisistlán, Oax.",40.72
-96.544722,15.739167,OAX,TNMOX,"Tonameca, Oax.",98.85
-97.808333,17.654444,OAX,TSLOX,"Heroica Villa Tezoatlán de Segura y Luna, Oax.",125.11
-96.435278,17.933056,OAX,UCFOX,"Usila CFE, Oax.",659.8
-96.3,17.776389,OAX,VANOX,"Valle Nacional, Oax.",481.91
-97.826111,17.724444,OAX,YOSOX,"Yosocuta, Oax.",102.35
-98.389444,17.755278,OAX,ZALOX,"Zapotitlán Lagunas, Oax.",135.62
-94.216111,16.4025,OAX,ZANOX,"Zanatepec, Oax.",162.83
-97.818056,17.889722,OAX,ZAPOX,"Zapotitlán Palmas, Oax.",74.43
-98.285,19.016667,PUE,ACAPB,"Acatepec, Pue.",17.8
-97.418056,19.45,PUE,ACHPB,"Alchichilca, Pue.",26.771
-97.934167,19.0625,PUE,ACJPB,"Acajete, Pue.",71.11
-98.055,18.277222,PUE,ADOPB,"Acatlán de Osorio, Pue.",127.7
-98.135833,18.9425,PUE,AFRPB,"Áfricam, Pue.",117.01
-97.920833,18.854167,PUE,AHAPB,"Ahuatepec, Pue.",35
-98.148056,20.033056,PUE,AHUPB,"Ahuazontepec, Pue.",57.2
-97.845,20.406944,PUE,APAPB,"Apapantilla, Pue.",318.91
-98.420833,18.921111,PUE,ATXPB,"Atlixco, Pue.",184.8
-97.881111,20.385833,PUE,AVCPB,"Ávila Camacho, Pue.",321
-97.503333,19.961389,PUE,BAIPB,"Buenos Aires CFE, Pue.",283.41
-98.108611,18.9125,PUE,BDDPB,"Manuel Ávila Camacho, Pue.",100.34
-97.441667,18.987222,PUE,CDSPB,"Ciudad Serdán, Pue.",78.5
-97.958333,18.968889,PUE,CEMPB,"Cemex, Pue.",59.2
-97.360833,18.316389,PUE,CHCPB,"Chilac, Pue.",15.2
-98.579167,18.516111,PUE,CHIPB,"Chietla, Pue.",136.83
-98.318056,19.068611,PUE,CHLPB,"Cholula, Pue.",184.5
-98.567778,18.109722,PUE,CHSPB,"Chila de la Sal, Pue.",89.1
-98.198611,19.022778,PUE,CNAPB,"Conagua, Pue.",205
-98.049722,19.743333,PUE,CNGPB,"Chignahuapan, Pue.",70.43
-98.164722,18.612778,PUE,COAPB,"Coatzingo, Pue.",102.42
-98.059444,19.092778,PUE,CPLPB,"Capulac, Pue.",299
-97.516667,20.033333,PUE,CTZPB,"Cuetzalan del Progreso, Pue.",311.51
-98.275556,18.966111,PUE,ECHPB,"Echeverría, Pue.",221.52
-98.456111,19.101111,PUE,HJTPB,"Huejotzingo, Pue.",178.941
-98.540278,18.772222,PUE,HQCPB,"Huaquechula, Pue.",118.46
-98.050833,20.176389,PUE,HUAPB,"Huauchinango, Pue.",214.62
-98.72,18.039722,PUE,IXCAMILPACFE,"Ixcamilpa, Pue. CFE*",147.71
-97.815833,19.621667,PUE,IXTPB,"Ixtacamaxtitlán, Pue.",46.11
-98.466389,18.610833,PUE,IZMPB,"Izúcar de Matamoros, Pue.",134.01
-97.691111,19.457222,PUE,LIBPB,"Libres, Pue.",96.51
-98.231111,19.010556,PUE,MAYPB,"Mayorazgo 21 Poniente, Pue.",125.84
-97.850278,20.733056,PUE,MTLPB,"Metlaltoyuca, Pue.",112.35
-96.781389,18.360278,PUE,NARPB,"Naranjastitla, Pue.",499.43
-98.000556,20.216667,PUE,NNEPB,"Necaxa, Pue.",168.8
-97.533333,19.7,PUE,OYAPB,"Oyameles, Pue.",16.11
-97.251389,18.918056,PUE,PCRPB,"Paso Carretas, Pue.",161
-98.264722,18.2,PUE,PIXPB,"Piaxtla, Pue.",114.14
-97.702778,20.445833,PUE,PTEPALOMAS,"Puente Palomas, Pue. SGT*",136.4
-97.883333,20.233333,PUE,PTLPB,"Patla, Pue.",207.6
