LON,LAT,EDO,CLAVE,ESTACION,oct-23
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",16.75
-99.264444,19.359722,DF,TSLDF,"Santa Fe (Santa Lucía), Cd. de Méx.",71.4
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",30.48
-99.186389,19.455556,DF,TACUBA,"Tacuba, Cd. de Méx. UNAM*",26.09
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",20.81
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",60.21
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",37.33
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",31.76
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",67.07
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",19.29
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",2.28
-99.141389,19.344444,DF,TAXQUENA,"Taxqueña, Cd. de Méx. UNAM*",54.068
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",32.77
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",38.86
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",27.69
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",35.04
-99.106667,19.250278,DF,XOCHIMILCO,"Xochimilco, Cd. de Méx. UNAM*",36.72
-104.810278,24.538333,DGO,CBRDR,"Caboraca, Dgo.",56.52
-104.75,24.5,DGO,CNTDR,"Canatlán, Dgo.",82.7
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",43.02
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",85.83
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",62.06
-104.666667,24.033333,DGO,DRGDR,"Durango, Dgo.",41.12
-102.785,24.563056,DGO,TGRDR,"El Tigre, Dgo.",109.91
-106.538056,24.702222,DGO,TDRDR,"El Tule del Real, Dgo.",81.21
